smiles,ID,docking_score
CC(C)Oc1ccc(NC(=O)NC[C@@H]2CN(C)CCN2C)c(Cl)c1,ZINC000275381359,-6.26035
O=C(NCCOc1cccc2ccccc21)N[C@@H]1[C@@H]2CCC[C@@H]21,ZINC000562339476,-7.18075
CC(C)NC(=O)CNC(=O)c1ccccc1COCc1ccccc1,ZINC000623515824,-7.16112
CC(=O)c1cn(CC(=O)N[C@H]2COc3ccc(F)cc3C2)nn1,ZINC000451820305,-7.19003
C[C@@H]1CCN(C(=O)CCCCN2CCOCC2)C[C@@H]1C,ZINC000179829387,-7.11225
O=c1onc(-c2ccccc2)n1C[C@@H](O)CNCC1(CO)CCCC1,ZINC000570451559,-7.143160000000001
Cc1cc(O)ccc1NC(=O)c1n[nH]c2c1CCCCC2,ZINC000190817456,-7.10813
NCC1(O)CCN(C(=O)c2cc3c(s2)-c2ccccc2CC3)CC1,ZINC000643608273,-7.10325
CC1(C)CCCN(C(=O)CCNC(=O)c2ccc(F)cc2)C1,ZINC000264926359,-7.027539999999999
O=C(CCSCCOC[C@@H]1CCCO1)Nc1cccc(F)c1,ZINC000610315897,-7.0464
COC(=O)c1cc(NCC#Cc2ccc(F)cc2)c(F)cc1F,ZINC000433473539,-7.04246
O=C(NCc1n[nH]cc1Br)c1ccc2ncccc2c1,ZINC000597766825,-7.006639999999999
C[C@@H](Cc1ccccn1)NC(=O)NCCOc1ccc(C#N)cc1,ZINC000594228567,-7.017930000000001
C=CC(=O)Nc1cc(NC(=O)C2C[C@H]3CCC[C@@H](C2)C3=O)ccc1F,ZINC000136614956,-7.0031300000000005
CN(C)c1cccc(CNC(=O)c2ccncc2Cl)n1,ZINC000339087186,-6.92599
CC1(C)CC[C@@H](CO)N(Cc2ccsc2Cl)C1,ZINC000621382287,-6.93325
Cc1[nH]nc(C(=O)NCc2ccc(S(=O)(=O)CCO)cc2)c1[N+](=O)[O-],ZINC000508753277,-6.933910000000001
CCSc1ccc([C@@H](C)NC(=O)N[C@H]2CCCOC2)cc1,ZINC000171605876,-6.913310000000001
CC(C)(Oc1ccc(F)cc1)C(=O)NC[C@@]1(C)CCCC[C@H]1O,ZINC000178336673,-6.94848
Cn1cnc2c1CCN(C(=O)C(=O)N[C@H]1CO[C@@H](C3CC3)C1)C2,ZINC000637130224,-6.8842300000000005
CC1CCC(CNC(=O)Nc2ccc(N3CCC3=O)cc2)CC1,ZINC000439951084,-6.836010000000001
O=C1N[C@H](C[C@H]2CCCOC2)C(=O)N1CC1CC(c2ccccc2)C1,ZINC000629468692,-6.833139999999999
CS(=O)(=O)[C@H]1CCCN([C@H]2C=CCCC2)CC1,ZINC000334225475,-6.828139999999999
C[C@H](Cn1ncc2ccccc21)C(=O)N1CCCC2(CC2)CC1,ZINC000629647170,-6.85182
CCn1nc(C(C)C)cc1C(=O)NCCC1CCCCC1,ZINC000496183540,-6.79127
Cc1ncc(NC(=O)N[C@@H]2CCOc3c(Br)cccc32)cn1,ZINC000503092811,-6.75002
C[C@H]1CCCN(S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)[C@H]1CCN,ZINC000652378525,-6.75558
O=C(CN1CCOc2ccc(Cl)cc21)NCCc1ccc(O)nc1,ZINC000552230449,-6.77324
CN(C)CCOc1cc(C(=O)NC[C@@H]2CCCCC2(F)F)ccn1,ZINC000295436406,-6.75525
N[C@@H]1CCC[C@H](C(=O)Nc2ccc(Nc3ccccc3)nc2)C1,ZINC000166785334,-6.2262900000000005
COC(=O)c1ccc(C(=O)NCCCN2CCCC2)nc1,ZINC000067997138,-6.22658
COc1cccc([C@@H](C)C(=O)N[C@H]2CCc3cn(C(C)C)nc3C2)c1,ZINC000481876719,-6.72803
CC[C@@H]1C[C@@H](CC(=O)Nc2cc(Cl)cc(C(=O)OC)c2O)CCO1,ZINC000588096399,-6.70558
O=C(Cc1ccc(Cl)cc1)N[C@H](c1ccccc1)C1CCC1,ZINC000521496481,-6.66344
CCOC(=O)N1CCC[C@H]([C@H](C)NC(=O)c2ccnc(N(C)C)c2)C1,ZINC000495538573,-6.644080000000001
Cc1cc([C@H](NC(=O)c2nc3ncccn3n2)C2CC2)ccc1F,ZINC000613075552,-6.53563
CN(c1nc2ccccc2c(NCCO)n1)C1CC(OC(C)(C)C)C1,ZINC000561454237,-6.49494
O=C(O)C1(NCc2cc3ccc(F)cc3[nH]2)CCC1,ZINC000340678954,-6.52131
Cc1nc(C)c(C(=O)N=c2cc[nH]c3ccccc32)nc1C,ZINC000545206613,-6.48296
Cn1c(=O)cc(NCC2(CO)CCOCC2)n(C)c1=O,ZINC000663736335,-6.44426
CCOC(=O)[C@H](F)C1CN(C(=O)Nc2cccc(C)c2Br)C1,ZINC000297054451,-6.4631
CCOC(=O)N(C)C1CCN(C(=O)Nc2c(C)cccc2C)CC1,ZINC000491065671,-6.44488
CCc1nc(NC(=O)C(=O)N2C[C@H]3CCC[C@@H](C2)C3O)sc1C,ZINC000192957621,-6.41317
O=C(NCCCc1ccccc1)NCC1CCOCC1,ZINC000194801739,-6.41127
C[C@@H](N)C[C@@H](C)NC(=O)c1cccc(Oc2ccncc2)c1,ZINC000575806499,-6.431
CCOc1cccc(CNC(=O)N[C@@H]2CCc3nnc(CC)n3C2)c1,ZINC000373308973,-6.40744
COCCN1CCC(NCC(C)(C)C2=CCCC2)CC1,ZINC000453428195,-6.37796
Cc1cc(C)cc(OCC(=O)NCC2(C#N)CC2)c1,ZINC000519861577,-6.38079
CC(=O)c1ccc(NC(=O)NCCC(F)(F)F)cc1C,ZINC000089449651,-6.3422
CCc1[nH]nc(C(=O)NC[C@H](O)C2CC2)c1[N+](=O)[O-],ZINC000269872558,-6.33867
CC[C@H](N[C@@H](C)CCCCO)c1ccc(OC(F)F)cc1,ZINC000272654337,-6.3537300000000005
CC(C)Sc1ccc([C@H](C)Nc2ncccc2[N+](=O)[O-])cc1,ZINC000301208112,-6.3434
Cc1cccc2ncc(CN3CCC[C@]3(CO)Cc3ccccc3)n21,ZINC000355339841,-6.16753
CO[C@@](C)(CNc1nccc2ccccc21)C1CC1,ZINC000381822687,-6.18916
COc1cccc2c1OCC(C(=O)N[C@@H](C)c1csc(C)n1)=C2,ZINC000337488737,-6.30968
COCCN1CC[C@H](NC(=O)NCCCN2C[C@H](C)C[C@H](C)C2)C1,ZINC000347042415,-6.310919999999999
CCC(CC)(CNC(=O)C(=O)Nc1cccc2ccc(C)nc21)OC,ZINC000293329362,-6.24647
CC[C@H](F)CN(CCn1ccnc1)Cc1ccc(Br)o1,ZINC000352462998,-6.248069999999999
COC(=O)c1cncc(C(=O)N(C)Cc2cc(F)c(F)c(F)c2)c1,ZINC000538598373,-6.25934
COc1cc(CNc2nc(C(C)C)no2)cc(Cl)c1OC,ZINC000172581597,-6.23196
COC(=O)c1cc(OC)ccc1NC(=O)[C@@H](O)Cc1cnn(C)c1,ZINC000345381163,-6.202999999999999
CCc1noc([C@H](C)N2CCS[C@@H](c3ccccc3)C2)n1,ZINC000360958773,-6.19638
CC1CC(N[C@H]2CCN(C(=O)OC(C)(C)C)[C@@H](C)C2)C1,ZINC000219339908,-6.16823
CC[C@@H](CO)N(C)C(=O)Nc1cc(F)cc(F)c1OC,ZINC000454969718,-6.1922
Cn1cc(C2CCN(C(=O)[C@H](O)c3ccccc3Cl)CC2)cn1,ZINC000271077067,-6.17705
CO[C@@H]1CCN(C(=O)c2ccc(C[C@H]3CC(=O)NC3=O)cc2)C1,ZINC000361141433,-6.13234
N#Cc1c(CN2CCC(F)(F)[C@H](CO)C2)cn2ccccc12,ZINC000291844614,-6.08297
Cc1cnn(CCSCc2cccc3cccnc32)c1,ZINC000340624104,-6.05996
COC(=O)c1cc(NCCn2cccn2)ccc1Cl,ZINC000610701560,-6.05125
CCOc1ccccc1CNC(=O)c1sc2cccc(F)c2c1OC,ZINC000064756383,-6.064690000000001
Cc1cnc(-c2cccc(N[C@@H](C)c3cccc(F)c3F)c2)o1,ZINC000539736227,-5.98715
CCc1ccc(/C=C/C(=O)N(C)[C@@H]2CCN(C)C[C@@H]2C)o1,ZINC000160416071,-5.94436
COc1ccc(Br)c(C(=O)N(C)CC2(O)CCCC2)c1,ZINC000124529994,-5.97405
CCn1cc([C@@H]2OCCC[C@H]2CN[C@H]2CCCS(=O)(=O)C2)cn1,ZINC000657367420,-5.9843
C[C@H]1C[C@H](N)CN1C(=O)CCS(=O)(=O)N(C)C,ZINC000638930146,-5.96775
CO[C@H]1CCN(C(=O)C(=O)Nc2ccc3occc3c2)[C@@H](C)C1,ZINC000627556487,-5.97548
O=C(CNC(=O)c1ccco1)N1CCN(c2cccc(Cl)c2)CC1,ZINC000008015871,-5.98307
Cn1cc([C@@H]2CN(C(=O)c3ccc(-c4nc[nH]n4)cc3)CCO2)cn1,ZINC000364273591,-5.91138
COC(=O)c1cnc(-c2nc(-c3cc(Cl)ccc3C)no2)cn1,ZINC000356591684,-5.90106
NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NCc1cnn2ccccc12,ZINC000343275274,-5.92994
Cc1csc(CCNC(=O)[C@@H]2CNCCO2)n1,ZINC000019746421,-5.92539
CCn1c(S)nnc1CNC(=O)[C@H](C)Oc1ccc(C=O)cc1,ZINC000285495303,-5.92136
Cc1cccc(C)c1OC[C@H](O)CN[C@@H]1CC=C(C)CC1,ZINC000646130668,-6.13241
COc1c(C)ccc(NCc2nc(C3CC3)n[nH]2)c1C,ZINC000190336504,-5.85805
CCN(C[C@@H](O)C(F)(F)F)C(=O)Nc1ccnn1-c1ccccc1C,ZINC000189291612,-5.77095
CO[C@]1(C)CCCN(C(=O)CCOc2ccccc2[N+](=O)[O-])C1,ZINC000279622371,-5.72701
CCOC(=O)[C@@H](C)NC(=O)c1ccc(NCc2occc2C)cc1F,ZINC000284390288,-5.72857
COC(=O)[C@H](C)CN(C(=O)CCc1ccccc1O)C1CC1,ZINC000338889014,-5.63974
Cc1ccc(CCN2C[C@H](CO)c3ccccc32)cc1,ZINC000433304005,-5.64427
Cc1ccccc1-c1cc(NC(=O)CC[C@H](C)N)n(C)n1,ZINC000193280837,-5.65439
CC(C)[C@@H](CO)C(=O)NCC(=O)N1CCN(c2ccccc2)CC1,ZINC000362347279,-5.61981
C[C@@H](CC(=O)NCC(=O)N(C)C)C1CCNCC1,ZINC000429771692,-5.62441
C[C@@H]1C[C@@H](CNc2nc(O)c3cc([N+](=O)[O-])ccc3n2)[C@H](C)O1,ZINC000413543177,-5.60695
CC(C)Oc1ccc([C@H](C)N[C@@H]2COCC[C@H]2O)cc1,ZINC000631750210,-5.57691
Cc1nnc(N2CCC=C(c3ccccc3)C2)n1C[C@H]1CCCCO1,ZINC000359944364,-5.59981
CCCn1ncnc1CN(C)c1cc(C)cc(C)c1,ZINC000279629533,-5.56228
CC[C@@H](CNc1ccccc1)NC(=O)NC[C@H](C)COC,ZINC000297390314,-5.54977
C[C@@H]1Cc2ccccc2N1C(=O)c1cccc(-n2cnnn2)c1,ZINC000012772560,-5.53988
CC[C@H](Nc1cccc(C(=O)NCCOC)c1)c1cccs1,ZINC000353865169,-5.56045
CCCOc1ccc(CCC(=O)NCc2cnc(C)nc2N)cc1,ZINC000521498067,-5.47072
COC(=O)CNC(=O)CN1CCC[C@@](C)(O)CC1,ZINC000369134307,-6.09219
COc1ccc2c(c1OC)CCN(CCCCF)C2,ZINC000351731679,-5.32395
CCc1nsc(N(Cc2ccc(OC)cc2)C2CC2)n1,ZINC000301729535,-5.3325
Cc1cnn(C2CN(C(=O)[C@@H]3CC[C@@H]4CCCC[C@@H]4C3)C2)c1,ZINC000363458443,-5.16464
Cc1csc(CCNC(=O)NC[C@H]2CCCNC2)n1,ZINC000669387784,-5.07874
Cc1cc(NC(=O)N2C[C@@H](C)[C@H](O)[C@@H](C)C2)n(-c2cc(C)ccn2)n1,ZINC000666905075,-5.106990000000001
COCc1ccccc1CNc1ccnc2c1cnn2C,ZINC000278742297,-4.89891
CC(=O)c1csc(C(=O)N2CCC(OC3CCCC3)CC2)c1,ZINC000106641471,-4.91844
CC[C@@H](C)n1ncc2c1nc(C)cc2C(=O)N1CC[C@H](C(=O)OC)C1,ZINC000331397134,-4.72836
CO[C@@H]1C[C@H](c2nc(C)no2)N(C(=O)CCCc2ccc(C)cc2)C1,ZINC000190008399,-4.78134
CC(C)Oc1ccc(NC(=O)c2c[nH]nc2[N+](=O)[O-])cc1,ZINC000548740127,-4.763999999999999
CC1(C)NC(=O)CC[C@@H]1NC(=O)N1CCN(c2ncccn2)CC1,ZINC000338513080,-4.7768
c1cn(-c2csc(CN3CC[C@@H]3Cc3ccccc3)c2)cn1,ZINC000346165654,-7.424010000000001
O=C(Nc1ccc2c(c1)CCOC2)C(=O)N1CCC2(CCN2)CC1,ZINC000659088153,-7.443969999999999
C#CCNC(=O)[C@H](C)N1CC[C@@]2(C1)OCc1ccccc12,ZINC000248691745,-7.4418
N#Cc1ccc(OCCN2CCO[C@@H]3CCCC[C@H]32)cc1,ZINC000217346601,-6.04295
O=C(c1ccoc1)N1CCC(NC2(c3ccc(F)cc3)CC2)CC1,ZINC000346793843,-6.06661
